original_equation,processed_equation,tokens
exp(-theta**2/2)/sqrt(2*pi),exp(-theta^2/2)/sqrt(2*pi),FUNC_EXP | VAR_( | OP_- | VAR_theta | OP_^ | <NUM> | OP_/ | <NUM> | VAR_) | OP_/ | FUNC_SQRT | VAR_( | <NUM> | OP_* | CONST_PI | VAR_)
exp(-(theta/sigma)**2/2)/(sqrt(2*pi)*sigma),exp(-(theta/sigma)^2/2)/(sqrt(2*pi)*sigma),FUNC_EXP | VAR_( | OP_- | VAR_( | VAR_theta | OP_/ | VAR_sigma | VAR_) | OP_^ | <NUM> | OP_/ | <NUM> | VAR_) | OP_/ | VAR_( | FUNC_SQRT | VAR_( | <NUM> | OP_* | CONST_PI | VAR_) | OP_* | VAR_sigma | VAR_)
exp(-((theta-theta1)/sigma)**2/2)/(sqrt(2*pi)*sigma),exp(-((theta-theta1)/sigma)^2/2)/(sqrt(2*pi)*sigma),FUNC_EXP | VAR_( | OP_- | VAR_( | VAR_( | VAR_theta | OP_- | VAR_theta1 | VAR_) | OP_/ | VAR_sigma | VAR_) | OP_^ | <NUM> | OP_/ | <NUM> | VAR_) | OP_/ | VAR_( | FUNC_SQRT | VAR_( | <NUM> | OP_* | CONST_PI | VAR_) | OP_* | VAR_sigma | VAR_)
sqrt((x2-x1)**2+(y2-y1)**2),sqrt((x2-x1)^2+(y2-y1)^2),FUNC_SQRT | VAR_( | VAR_( | VAR_x2 | OP_- | VAR_x1 | VAR_) | OP_^ | <NUM> | OP_+ | VAR_( | VAR_y2 | OP_- | VAR_y1 | VAR_) | OP_^ | <NUM> | VAR_)
G*m1*m2/((x2-x1)**2+(y2-y1)**2+(z2-z1)**2),G*m1*m2/((x2-x1)^2+(y2-y1)^2+(z2-z1)^2),CONST_G | OP_* | VAR_m1 | OP_* | VAR_m2 | OP_/ | VAR_( | VAR_( | VAR_x2 | OP_- | VAR_x1 | VAR_) | OP_^ | <NUM> | OP_+ | VAR_( | VAR_y2 | OP_- | VAR_y1 | VAR_) | OP_^ | <NUM> | OP_+ | VAR_( | VAR_z2 | OP_- | VAR_z1 | VAR_) | OP_^ | <NUM> | VAR_)
m_0/sqrt(1-v**2/c**2),m_0/sqrt(1-v^2/c^2),VAR_m_0 | OP_/ | FUNC_SQRT | VAR_( | <NUM> | OP_- | VAR_v | OP_^ | <NUM> | OP_/ | CONST_C | OP_^ | <NUM> | VAR_)
x1*y1+x2*y2+x3*y3,x1*y1+x2*y2+x3*y3,VAR_x1 | OP_* | VAR_y1 | OP_+ | VAR_x2 | OP_* | VAR_y2 | OP_+ | VAR_x3 | OP_* | VAR_y3
mu*Nn,mu*Nn,VAR_mu | OP_* | VAR_Nn
q1*q2*r/(4*pi*epsilon*r**3),q1*q2*r/(4*pi*epsilon*r^3),VAR_q1 | OP_* | VAR_q2 | OP_* | VAR_r | OP_/ | VAR_( | <NUM> | OP_* | CONST_PI | OP_* | CONST_EPSILON | OP_* | VAR_r | OP_^ | <NUM> | VAR_)
q1*r/(4*pi*epsilon*r**3),q1*r/(4*pi*epsilon*r^3),VAR_q1 | OP_* | VAR_r | OP_/ | VAR_( | <NUM> | OP_* | CONST_PI | OP_* | CONST_EPSILON | OP_* | VAR_r | OP_^ | <NUM> | VAR_)
q2*Ef,q2*Ef,VAR_q2 | OP_* | VAR_Ef
q*(Ef+B*v*sin(theta)),q*(Ef+B*v*sin(theta)),CONST_Q | OP_* | VAR_( | VAR_Ef | OP_+ | VAR_B | OP_* | VAR_v | OP_* | FUNC_SIN | VAR_( | VAR_theta | VAR_) | VAR_)
1/2*m*(v**2+u**2+w**2),1/2*m*(v^2+u^2+w^2),<NUM> | OP_/ | <NUM> | OP_* | CONST_M | OP_* | VAR_( | VAR_v | OP_^ | <NUM> | OP_+ | VAR_u | OP_^ | <NUM> | OP_+ | VAR_w | OP_^ | <NUM> | VAR_)
G*m1*m2*(1/r2-1/r1),G*m1*m2*(1/r2-1/r1),CONST_G | OP_* | VAR_m1 | OP_* | VAR_m2 | OP_* | VAR_( | <NUM> | OP_/ | VAR_r2 | OP_- | <NUM> | OP_/ | VAR_r1 | VAR_)
m*g*z,m*g*z,CONST_M | OP_* | VAR_g | OP_* | VAR_z
1/2*k_spring*x**2,1/2*k_spring*x^2,<NUM> | OP_/ | <NUM> | OP_* | VAR_k_spring | OP_* | VAR_x | OP_^ | <NUM>
(x-u*t)/sqrt(1-u**2/c**2),(x-u*t)/sqrt(1-u^2/c^2),VAR_( | VAR_x | OP_- | VAR_u | OP_* | VAR_t | VAR_) | OP_/ | FUNC_SQRT | VAR_( | <NUM> | OP_- | VAR_u | OP_^ | <NUM> | OP_/ | CONST_C | OP_^ | <NUM> | VAR_)
(t-u*x/c**2)/sqrt(1-u**2/c**2),(t-u*x/c^2)/sqrt(1-u^2/c^2),VAR_( | VAR_t | OP_- | VAR_u | OP_* | VAR_x | OP_/ | CONST_C | OP_^ | <NUM> | VAR_) | OP_/ | FUNC_SQRT | VAR_( | <NUM> | OP_- | VAR_u | OP_^ | <NUM> | OP_/ | CONST_C | OP_^ | <NUM> | VAR_)
m_0*v/sqrt(1-v**2/c**2),m_0*v/sqrt(1-v^2/c^2),VAR_m_0 | OP_* | VAR_v | OP_/ | FUNC_SQRT | VAR_( | <NUM> | OP_- | VAR_v | OP_^ | <NUM> | OP_/ | CONST_C | OP_^ | <NUM> | VAR_)
(u+v)/(1+u*v/c**2),(u+v)/(1+u*v/c^2),VAR_( | VAR_u | OP_+ | VAR_v | VAR_) | OP_/ | VAR_( | <NUM> | OP_+ | VAR_u | OP_* | VAR_v | OP_/ | CONST_C | OP_^ | <NUM> | VAR_)
(m1*r1+m2*r2)/(m1+m2),(m1*r1+m2*r2)/(m1+m2),VAR_( | VAR_m1 | OP_* | VAR_r1 | OP_+ | VAR_m2 | OP_* | VAR_r2 | VAR_) | OP_/ | VAR_( | VAR_m1 | OP_+ | VAR_m2 | VAR_)
r*F*sin(theta),r*F*sin(theta),VAR_r | OP_* | VAR_F | OP_* | FUNC_SIN | VAR_( | VAR_theta | VAR_)
m*r*v*sin(theta),m*r*v*sin(theta),CONST_M | OP_* | VAR_r | OP_* | VAR_v | OP_* | FUNC_SIN | VAR_( | VAR_theta | VAR_)
1/2*m*(omega**2+omega_0**2)*1/2*x**2,1/2*m*(omega^2+omega_0^2)*1/2*x^2,<NUM> | OP_/ | <NUM> | OP_* | CONST_M | OP_* | VAR_( | VAR_omega | OP_^ | <NUM> | OP_+ | VAR_omega_0 | OP_^ | <NUM> | VAR_) | OP_* | <NUM> | OP_/ | <NUM> | OP_* | VAR_x | OP_^ | <NUM>
q/C,q/C,CONST_Q | OP_/ | VAR_C
arcsin(n*sin(theta2)),arcsin(n*sin(theta2)),FUNC_ARCSIN | VAR_( | VAR_n | OP_* | FUNC_SIN | VAR_( | VAR_theta2 | VAR_) | VAR_)
1/(1/d1+n/d2),1/(1/d1+n/d2),<NUM> | OP_/ | VAR_( | <NUM> | OP_/ | VAR_d1 | OP_+ | VAR_n | OP_/ | VAR_d2 | VAR_)
omega/c,omega/c,VAR_omega | OP_/ | CONST_C
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),sqrt(x1^2+x2^2-2*x1*x2*cos(theta1-theta2)),FUNC_SQRT | VAR_( | VAR_x1 | OP_^ | <NUM> | OP_+ | VAR_x2 | OP_^ | <NUM> | OP_- | <NUM> | OP_* | VAR_x1 | OP_* | VAR_x2 | OP_* | FUNC_COS | VAR_( | VAR_theta1 | OP_- | VAR_theta2 | VAR_) | VAR_)
